onset	duration	value	sample
0.487	0.0	91	487
0.742	0.0	93	742
1.871	0.0	10	1871
1.987	0.0	92	1987
3.121	0.0	10	3121
3.238	0.0	92	3238
4.372	0.0	3	4372
4.488	0.0	92	4488
5.623	0.0	2	5623
5.739	0.0	92	5739
6.857	0.0	91	6857
7.911	0.0	94	7911
9.025	0.0	1	9025
9.141	0.0	92	9141
10.259	0.0	5	10259
10.375	0.0	92	10375
11.509	0.0	1	11509
11.626	0.0	92	11626
12.743	0.0	1	12743
12.86	0.0	92	12860
13.994	0.0	2	13994
14.11	0.0	92	14110
15.245	0.0	91	15245
15.581	0.0	93	15581
16.695	0.0	1	16695
16.812	0.0	92	16812
17.946	0.0	5	17946
18.062	0.0	92	18062
19.197	0.0	7	19197
19.313	0.0	92	19313
20.447	0.0	6	20447
20.564	0.0	92	20564
21.681	0.0	91	21681
21.97	0.0	94	21970
23.116	0.0	10	23116
23.232	0.0	92	23232
24.366	0.0	7	24366
24.483	0.0	92	24483
25.617	0.0	4	25617
25.733	0.0	92	25733
26.868	0.0	91	26868
27.775	0.0	94	27775
28.885	0.0	5	28885
29.002	0.0	92	29002
30.136	0.0	5	30136
30.252	0.0	92	30252
31.387	0.0	7	31387
31.503	0.0	92	31503
32.638	0.0	91	32638
33.285	0.0	94	33285
34.422	0.0	2	34422
34.538	0.0	92	34538
35.656	0.0	9	35656
35.772	0.0	92	35772
36.89	0.0	7	36890
37.006	0.0	92	37006
38.14	0.0	7	38140
38.257	0.0	92	38257
39.391	0.0	1	39391
39.507	0.0	92	39507
40.625	0.0	91	40625
41.318	0.0	94	41318
42.426	0.0	10	42426
42.542	0.0	92	42542
43.66	0.0	5	43660
43.776	0.0	92	43776
44.911	0.0	7	44911
45.027	0.0	92	45027
46.161	0.0	8	46161
46.278	0.0	92	46278
47.395	0.0	8	47395
47.512	0.0	92	47512
48.646	0.0	91	48646
48.898	0.0	93	48898
50.047	0.0	8	50047
50.163	0.0	92	50163
51.264	0.0	7	51264
51.38	0.0	92	51380
52.515	0.0	10	52515
52.631	0.0	92	52631
53.765	0.0	1	53765
53.882	0.0	92	53882
55.016	0.0	1	55016
55.133	0.0	92	55133
56.25	0.0	91	56250
56.476	0.0	93	56476
57.584	0.0	7	57584
57.701	0.0	92	57701
58.818	0.0	4	58818
58.935	0.0	92	58935
60.069	0.0	3	60069
60.185	0.0	92	60185
61.303	0.0	91	61303
61.695	0.0	93	61695
62.803	0.0	9	62803
62.92	0.0	92	62920
64.037	0.0	10	64037
64.154	0.0	92	64154
65.271	0.0	2	65271
65.388	0.0	92	65388
66.522	0.0	3	66522
66.639	0.0	92	66639
67.773	0.0	1	67773
67.889	0.0	92	67889
69.007	0.0	91	69007
70.079	0.0	94	70079
71.208	0.0	9	71208
71.325	0.0	92	71325
72.459	0.0	5	72459
72.575	0.0	92	72575
73.71	0.0	3	73710
73.826	0.0	92	73826
74.944	0.0	4	74944
75.06	0.0	92	75060
76.179	0.0	91	76179
76.456	0.0	93	76456
77.544	0.0	10	77544
77.661	0.0	92	77661
78.796	0.0	9	78796
78.912	0.0	92	78912
80.03	0.0	4	80030
80.146	0.0	92	80146
81.264	0.0	2	81264
81.38	0.0	92	81380
82.498	0.0	91	82498
83.075	0.0	94	83075
84.215	0.0	4	84215
84.332	0.0	92	84332
85.466	0.0	7	85466
85.582	0.0	92	85582
86.717	0.0	5	86717
86.833	0.0	92	86833
87.967	0.0	6	87967
88.084	0.0	92	88084
89.218	0.0	91	89218
90.022	0.0	93	90022
91.152	0.0	5	91152
91.269	0.0	92	91269
92.386	0.0	3	92386
92.503	0.0	92	92503
93.637	0.0	3	93637
93.753	0.0	92	93753
94.888	0.0	6	94888
95.004	0.0	92	95004
96.122	0.0	91	96122
97.05	0.0	94	97050
98.156	0.0	9	98156
98.272	0.0	92	98272
99.407	0.0	5	99407
99.523	0.0	92	99523
100.658	0.0	8	100658
100.774	0.0	92	100774
101.908	0.0	7	101908
102.025	0.0	92	102025
103.142	0.0	91	103142
103.5	0.0	93	103500
104.609	0.0	2	104609
104.726	0.0	92	104726
105.86	0.0	9	105860
105.977	0.0	92	105977
107.095	0.0	10	107095
107.211	0.0	92	107211
108.345	0.0	5	108345
108.461	0.0	92	108461
109.596	0.0	6	109596
109.712	0.0	92	109712
110.83	0.0	91	110830
111.12	0.0	93	111120
112.213	0.0	10	112213
112.33	0.0	92	112330
113.464	0.0	8	113464
113.58	0.0	92	113580
114.699	0.0	3	114699
114.815	0.0	92	114815
115.949	0.0	91	115949
116.62	0.0	94	116620
117.733	0.0	9	117733
117.85	0.0	92	117850
118.984	0.0	4	118984
119.1	0.0	92	119100
120.235	0.0	4	120235
120.351	0.0	92	120351
121.469	0.0	91	121469
121.707	0.0	93	121707
122.819	0.0	10	122819
122.936	0.0	92	122936
145.015	0.0	10	145015
145.131	0.0	92	145131
146.266	0.0	1	146266
146.382	0.0	92	146382
147.499	0.0	8	147499
147.616	0.0	92	147616
148.734	0.0	91	148734
149.285	0.0	94	149285
150.435	0.0	7	150435
150.551	0.0	92	150551
151.685	0.0	7	151685
151.801	0.0	92	151801
152.936	0.0	1	152936
153.052	0.0	92	153052
154.17	0.0	8	154170
154.286	0.0	92	154286
155.42	0.0	4	155420
155.537	0.0	92	155537
156.654	0.0	91	156654
156.964	0.0	94	156964
158.072	0.0	9	158072
158.188	0.0	92	158188
159.323	0.0	7	159323
159.439	0.0	92	159439
160.573	0.0	10	160573
160.69	0.0	92	160690
161.824	0.0	4	161824
161.94	0.0	92	161940
163.058	0.0	3	163058
