onset	duration	value	sample
0.309	0.0	1	309
0.425	0.0	92	425
1.695	0.0	8	1695
1.81	0.0	92	1810
3.08	0.0	91	3080
3.664	0.0	94	3664
4.949	0.0	2	4949
5.065	0.0	92	5065
6.334	0.0	4	6334
6.45	0.0	92	6450
7.72	0.0	6	7720
7.835	0.0	92	7835
9.106	0.0	1	9106
9.22	0.0	92	9220
10.489	0.0	2	10489
10.606	0.0	92	10606
11.875	0.0	91	11875
12.785	0.0	93	12785
14.061	0.0	6	14061
14.177	0.0	92	14177
15.447	0.0	9	15447
15.562	0.0	92	15562
16.832	0.0	10	16832
16.947	0.0	92	16947
18.217	0.0	8	18217
18.334	0.0	92	18334
19.602	0.0	5	19602
19.718	0.0	92	19718
20.987	0.0	91	20987
21.642	0.0	94	21642
22.923	0.0	3	22923
23.039	0.0	92	23039
24.308	0.0	10	24308
24.424	0.0	92	24424
25.694	0.0	1	25694
25.809	0.0	92	25809
27.079	0.0	7	27079
27.195	0.0	92	27195
28.464	0.0	91	28464
29.103	0.0	94	29103
30.383	0.0	9	30383
30.499	0.0	92	30499
31.769	0.0	2	31769
31.884	0.0	92	31884
33.154	0.0	1	33154
33.27	0.0	92	33270
34.539	0.0	1	34539
34.655	0.0	92	34655
35.924	0.0	91	35924
36.229	0.0	93	36229
37.51	0.0	5	37510
37.625	0.0	92	37625
38.895	0.0	6	38895
39.011	0.0	92	39011
40.28	0.0	4	40280
40.396	0.0	92	40396
41.665	0.0	3	41665
41.781	0.0	92	41781
43.051	0.0	91	43051
43.872	0.0	93	43872
45.153	0.0	10	45153
45.27	0.0	92	45270
46.539	0.0	10	46539
46.654	0.0	92	46654
47.924	0.0	9	47924
48.039	0.0	88	48039
48.04	0.0	92	48040
65.498	0.0	9	65498
65.613	0.0	92	65613
66.883	0.0	4	66883
66.998	0.0	92	66998
68.268	0.0	1	68268
68.384	0.0	92	68384
69.653	0.0	91	69653
70.122	0.0	94	70122
71.406	0.0	6	71406
71.521	0.0	92	71521
72.791	0.0	5	72791
72.906	0.0	92	72906
74.176	0.0	8	74176
74.292	0.0	92	74292
75.561	0.0	91	75561
76.345	0.0	94	76345
77.63	0.0	2	77630
77.746	0.0	92	77746
79.016	0.0	3	79016
79.131	0.0	92	79131
80.401	0.0	3	80401
80.517	0.0	92	80517
81.786	0.0	91	81786
82.11	0.0	93	82110
83.388	0.0	8	83388
83.504	0.0	92	83504
84.774	0.0	6	84774
84.889	0.0	92	84889
86.159	0.0	8	86159
86.275	0.0	92	86275
87.544	0.0	8	87544
87.66	0.0	92	87660
88.929	0.0	91	88929
89.275	0.0	93	89275
90.565	0.0	9	90565
90.68	0.0	92	90680
91.95	0.0	3	91950
92.066	0.0	92	92066
93.335	0.0	6	93335
93.451	0.0	92	93451
94.72	0.0	1	94720
94.836	0.0	92	94836
96.106	0.0	91	96106
96.994	0.0	94	96994
98.275	0.0	9	98275
98.392	0.0	92	98392
99.66	0.0	2	99660
99.776	0.0	92	99776
101.046	0.0	3	101046
101.161	0.0	92	101161
102.431	0.0	4	102431
102.546	0.0	92	102546
103.816	0.0	91	103816
104.178	0.0	93	104178
105.468	0.0	9	105468
