onset	duration	value	sample
0.104	0.0	92	104
1.407	0.0	91	1407
2.269	0.0	94	2269
3.594	0.0	8	3594
3.726	0.0	92	3726
5.029	0.0	9	5029
5.161	0.0	92	5161
6.464	0.0	7	6464
6.596	0.0	92	6596
7.9	0.0	3	7900
8.031	0.0	92	8031
9.335	0.0	2	9335
9.467	0.0	92	9467
10.77	0.0	91	10770
11.417	0.0	94	11417
12.739	0.0	5	12739
12.873	0.0	92	12873
14.175	0.0	7	14175
14.307	0.0	92	14307
15.61	0.0	6	15610
15.742	0.0	92	15742
17.045	0.0	91	17045
17.699	0.0	94	17699
19.031	0.0	9	19031
19.163	0.0	92	19163
20.466	0.0	1	20466
20.598	0.0	92	20598
21.902	0.0	6	21902
22.034	0.0	92	22034
23.337	0.0	91	23337
23.787	0.0	94	23787
25.123	0.0	9	25123
25.255	0.0	92	25255
26.558	0.0	5	26558
26.691	0.0	92	26691
27.993	0.0	5	27993
28.125	0.0	92	28125
29.429	0.0	2	29429
29.561	0.0	92	29561
30.864	0.0	6	30864
30.997	0.0	92	30997
32.299	0.0	91	32299
32.661	0.0	94	32661
33.985	0.0	9	33985
34.117	0.0	92	34117
35.42	0.0	7	35420
35.552	0.0	92	35552
36.855	0.0	8	36855
36.989	0.0	92	36989
38.291	0.0	91	38291
38.553	0.0	93	38553
39.876	0.0	9	39876
40.009	0.0	92	40009
41.311	0.0	1	41311
41.443	0.0	92	41443
42.747	0.0	10	42747
42.879	0.0	92	42879
44.182	0.0	3	44182
44.314	0.0	92	44314
45.617	0.0	3	45617
45.749	0.0	92	45749
47.052	0.0	91	47052
47.349	0.0	93	47349
48.671	0.0	10	48671
48.803	0.0	92	48803
50.107	0.0	6	50107
50.238	0.0	92	50238
51.542	0.0	6	51542
51.675	0.0	92	51675
52.977	0.0	91	52977
53.855	0.0	93	53855
55.18	0.0	5	55180
55.312	0.0	92	55312
56.615	0.0	4	56615
56.747	0.0	92	56747
58.051	0.0	3	58051
58.183	0.0	92	58183
59.486	0.0	4	59486
59.618	0.0	92	59618
60.921	0.0	91	60921
61.202	0.0	93	61202
62.54	0.0	3	62540
62.672	0.0	92	62672
63.975	0.0	1	63975
64.107	0.0	92	64107
65.41	0.0	2	65410
65.542	0.0	92	65542
66.846	0.0	91	66846
67.772	0.0	93	67772
69.099	0.0	8	69099
69.231	0.0	92	69231
70.534	0.0	1	70534
70.666	0.0	92	70666
71.969	0.0	2	71969
72.101	0.0	92	72101
73.405	0.0	91	73405
73.899	0.0	93	73899
75.224	0.0	10	75224
75.356	0.0	92	75356
76.659	0.0	2	76659
76.791	0.0	92	76791
78.094	0.0	1	78094
78.226	0.0	92	78226
79.53	0.0	91	79530
80.284	0.0	93	80284
81.616	0.0	1	81616
81.748	0.0	92	81748
83.051	0.0	10	83051
83.183	0.0	92	83183
84.486	0.0	1	84486
84.618	0.0	92	84618
85.922	0.0	6	85922
86.054	0.0	92	86054
87.357	0.0	91	87357
88.492	0.0	94	88492
89.827	0.0	4	89827
89.96	0.0	92	89960
91.262	0.0	4	91262
91.394	0.0	92	91394
92.697	0.0	3	92697
92.829	0.0	92	92829
94.133	0.0	91	94133
94.915	0.0	93	94915
96.252	0.0	10	96252
96.384	0.0	92	96384
97.687	0.0	5	97687
97.819	0.0	92	97819
99.123	0.0	2	99123
99.255	0.0	92	99255
100.575	0.0	2	100575
100.708	0.0	92	100708
102.01	0.0	91	102010
102.325	0.0	93	102325
103.662	0.0	10	103662
103.795	0.0	92	103795
105.097	0.0	1	105097
105.229	0.0	92	105229
106.533	0.0	4	106533
106.665	0.0	92	106665
107.968	0.0	91	107968
108.652	0.0	94	108652
109.987	0.0	4	109987
110.119	0.0	92	110119
111.423	0.0	1	111423
111.555	0.0	92	111555
112.858	0.0	8	112858
112.991	0.0	92	112991
114.293	0.0	8	114293
114.425	0.0	92	114425
115.728	0.0	91	115728
116.542	0.0	93	116542
117.865	0.0	9	117865
117.998	0.0	92	117998
119.3	0.0	8	119300
119.432	0.0	92	119432
120.735	0.0	6	120735
120.867	0.0	92	120867
122.17	0.0	7	122170
122.302	0.0	92	122302
123.618	0.0	91	123618
124.182	0.0	94	124182
125.508	0.0	7	125508
125.64	0.0	92	125640
126.944	0.0	9	126944
127.076	0.0	92	127076
128.379	0.0	9	128379
128.511	0.0	92	128511
129.814	0.0	10	129814
129.948	0.0	92	129948
146.02	0.0	1	146020
146.151	0.0	92	146151
147.455	0.0	6	147455
147.587	0.0	92	147587
148.89	0.0	6	148890
149.023	0.0	92	149023
150.325	0.0	91	150325
150.633	0.0	93	150633
151.961	0.0	10	151961
152.093	0.0	92	152093
153.396	0.0	6	153396
153.528	0.0	92	153528
154.831	0.0	2	154831
154.965	0.0	92	154965
156.267	0.0	4	156267
156.399	0.0	92	156399
157.702	0.0	3	157702
157.834	0.0	92	157834
159.137	0.0	91	159137
159.414	0.0	93	159414
160.739	0.0	10	160739
160.871	0.0	92	160871
162.175	0.0	3	162175
162.307	0.0	92	162307
163.61	0.0	1	163610
163.743	0.0	92	163743
165.045	0.0	8	165045
165.178	0.0	92	165178
166.48	0.0	7	166480
166.612	0.0	92	166612
167.916	0.0	91	167916
168.428	0.0	93	168428
169.752	0.0	9	169752
169.883	0.0	92	169883
171.187	0.0	2	171187
171.319	0.0	92	171319
172.622	0.0	5	172622
172.754	0.0	92	172754
174.057	0.0	5	174057
174.189	0.0	92	174189
175.492	0.0	7	175492
175.625	0.0	92	175625
176.928	0.0	91	176928
177.653	0.0	94	177653
178.997	0.0	4	178997
179.129	0.0	92	179129
180.433	0.0	7	180433
180.565	0.0	92	180565
181.868	0.0	2	181868
182.001	0.0	92	182001
183.303	0.0	91	183303
184.235	0.0	94	184235
185.573	0.0	5	185573
185.705	0.0	92	185705
187.008	0.0	5	187008
187.14	0.0	92	187140
188.443	0.0	9	188443
188.575	0.0	92	188575
189.879	0.0	4	189879
190.012	0.0	92	190012
191.314	0.0	5	191314
191.447	0.0	92	191447
192.749	0.0	91	192749
193.939	0.0	93	193939
195.269	0.0	6	195269
195.401	0.0	92	195401
196.705	0.0	6	196705
196.837	0.0	92	196837
198.14	0.0	7	198140
198.272	0.0	92	198272
199.575	0.0	7	199575
199.707	0.0	92	199707
201.01	0.0	91	201010
201.804	0.0	93	201804
203.13	0.0	9	203130
203.262	0.0	92	203262
204.565	0.0	3	204565
204.697	0.0	92	204697
206.001	0.0	8	206001
206.132	0.0	92	206132
207.436	0.0	7	207436
207.568	0.0	92	207568
208.871	0.0	2	208871
209.004	0.0	92	209004
210.306	0.0	91	210306
210.638	0.0	94	210638
211.975	0.0	9	211975
212.108	0.0	92	212108
213.41	0.0	1	213410
213.542	0.0	92	213542
214.846	0.0	2	214846
214.979	0.0	92	214979
216.281	0.0	3	216281
216.413	0.0	92	216413
217.716	0.0	1	217716
217.848	0.0	92	217848
219.152	0.0	91	219152
219.776	0.0	94	219776
221.104	0.0	6	221104
221.236	0.0	92	221236
222.539	0.0	8	222539
222.671	0.0	92	222671
223.975	0.0	9	223975
224.108	0.0	92	224108
225.41	0.0	1	225410
225.542	0.0	92	225542
226.845	0.0	1	226845
226.977	0.0	92	226977
228.28	0.0	91	228280
229.132	0.0	94	229132
230.467	0.0	8	230467
230.599	0.0	92	230599
231.902	0.0	4	231902
232.035	0.0	92	232035
233.337	0.0	3	233337
233.469	0.0	92	233469
234.773	0.0	91	234773
235.187	0.0	93	235187
236.525	0.0	10	236525
236.657	0.0	92	236657
237.96	0.0	3	237960
238.094	0.0	92	238094
239.395	0.0	8	239395
239.527	0.0	92	239527
240.831	0.0	91	240831
241.616	0.0	94	241616
242.95	0.0	3	242950
243.084	0.0	92	243084
244.386	0.0	10	244386
244.518	0.0	92	244518
245.821	0.0	4	245821
245.953	0.0	92	245953
247.256	0.0	7	247256
247.388	0.0	92	247388
248.691	0.0	91	248691
249.129	0.0	94	249129
250.46	0.0	9	250460
250.593	0.0	92	250593
251.896	0.0	1	251896
252.029	0.0	92	252029
253.348	0.0	10	253348
253.48	0.0	92	253480
254.784	0.0	8	254784
254.915	0.0	92	254915
256.218	0.0	4	256218
256.35	0.0	92	256350
257.654	0.0	91	257654
258.741	0.0	94	258741
260.073	0.0	2	260073
260.205	0.0	92	260205
261.509	0.0	5	261509
261.641	0.0	92	261641
262.944	0.0	2	262944
263.077	0.0	92	263077
264.379	0.0	7	264379
264.511	0.0	92	264511
265.815	0.0	91	265815
266.61	0.0	94	266610
267.934	0.0	6	267934
268.067	0.0	92	268067
269.369	0.0	3	269369
269.501	0.0	92	269501
270.805	0.0	4	270805
270.937	0.0	92	270937
272.24	0.0	91	272240
273.553	0.0	93	273553
274.877	0.0	1	274877
275.024	0.0	92	275024
276.329	0.0	10	276329
276.461	0.0	92	276461
277.764	0.0	3	277764
277.896	0.0	92	277896
279.199	0.0	2	279199
279.331	0.0	92	279331
280.634	0.0	1	280634
280.767	0.0	92	280767
282.07	0.0	91	282070
282.275	0.0	93	282275
283.605	0.0	8	283605
283.737	0.0	92	283737
285.041	0.0	2	285041
285.172	0.0	92	285172
286.476	0.0	2	286476
286.608	0.0	92	286608
287.911	0.0	91	287911
288.604	0.0	93	288604
289.931	0.0	9	289931
290.064	0.0	92	290064
291.366	0.0	8	291366
291.498	0.0	92	291498
292.801	0.0	5	292801
292.933	0.0	92	292933
294.236	0.0	6	294236
294.368	0.0	92	294368
295.672	0.0	91	295672
296.102	0.0	93	296102
297.424	0.0	9	297424
297.556	0.0	92	297556
298.859	0.0	10	298859
298.991	0.0	92	298991
300.294	0.0	9	300294
300.426	0.0	92	300426
301.73	0.0	6	301730
301.862	0.0	92	301862
303.165	0.0	6	303165
303.297	0.0	92	303297
304.6	0.0	91	304600
305.221	0.0	93	305221
306.57	0.0	10	306570
306.702	0.0	92	306702
308.005	0.0	1	308005
308.138	0.0	92	308138
309.44	0.0	5	309440
309.572	0.0	92	309572
310.875	0.0	91	310875
311.537	0.0	94	311537
312.861	0.0	8	312861
312.993	0.0	92	312993
314.297	0.0	10	314297
314.429	0.0	92	314429
315.732	0.0	3	315732
315.864	0.0	92	315864
317.167	0.0	7	317167
317.299	0.0	92	317299
318.602	0.0	4	318602
318.735	0.0	92	318735
320.038	0.0	91	320038
320.386	0.0	94	320386
321.723	0.0	10	321723
321.855	0.0	92	321855
323.159	0.0	4	323159
323.291	0.0	92	323291
