onset	duration	value	sample
0.388	0.0	10	388
0.503	0.0	92	503
1.773	0.0	7	1773
1.889	0.0	92	1889
3.158	0.0	2	3158
3.275	0.0	92	3275
19.864	0.0	3	19864
19.98	0.0	92	19980
21.249	0.0	3	21249
21.366	0.0	92	21366
22.633	0.0	4	22633
22.75	0.0	92	22750
24.019	0.0	91	24019
24.319	0.0	93	24319
25.605	0.0	8	25605
25.722	0.0	92	25722
26.99	0.0	4	26990
27.106	0.0	92	27106
28.376	0.0	2	28376
28.491	0.0	92	28491
29.761	0.0	7	29761
29.876	0.0	92	29876
31.146	0.0	4	31146
31.262	0.0	92	31262
32.531	0.0	91	32531
32.842	0.0	94	32842
34.15	0.0	8	34150
34.267	0.0	92	34267
35.534	0.0	9	35534
35.651	0.0	92	35651
36.921	0.0	1	36921
37.036	0.0	92	37036
38.306	0.0	1	38306
38.421	0.0	92	38421
39.691	0.0	91	39691
39.983	0.0	93	39983
41.276	0.0	1	41276
41.393	0.0	92	41393
42.662	0.0	2	42662
42.777	0.0	92	42777
44.047	0.0	9	44047
44.162	0.0	92	44162
45.432	0.0	6	45432
45.548	0.0	92	45548
46.817	0.0	6	46817
46.933	0.0	92	46933
48.201	0.0	91	48201
48.579	0.0	93	48579
49.871	0.0	10	49871
49.987	0.0	92	49987
51.257	0.0	10	51257
51.373	0.0	92	51373
52.642	0.0	1	52642
52.757	0.0	92	52757
54.027	0.0	1	54027
54.143	0.0	92	54143
55.411	0.0	91	55411
55.706	0.0	93	55706
57.014	0.0	9	57014
57.13	0.0	92	57130
58.398	0.0	10	58398
58.515	0.0	92	58515
59.785	0.0	8	59785
59.9	0.0	92	59900
61.17	0.0	5	61170
61.286	0.0	92	61286
62.555	0.0	91	62555
62.991	0.0	94	62991
64.291	0.0	4	64291
64.407	0.0	92	64407
65.676	0.0	4	65676
65.792	0.0	92	65792
67.061	0.0	5	67061
67.177	0.0	92	67177
68.446	0.0	91	68446
69.197	0.0	94	69197
70.499	0.0	4	70499
70.615	0.0	92	70615
71.884	0.0	9	71884
72.0	0.0	92	72000
73.286	0.0	2	73286
73.403	0.0	92	73403
74.671	0.0	5	74671
74.788	0.0	92	74788
76.056	0.0	6	76056
76.172	0.0	92	76172
77.442	0.0	91	77442
77.784	0.0	93	77784
79.076	0.0	10	79076
79.193	0.0	92	79193
80.463	0.0	3	80463
80.578	0.0	92	80578
81.848	0.0	2	81848
81.963	0.0	92	81963
83.233	0.0	7	83233
83.35	0.0	92	83350
84.618	0.0	91	84618
85.054	0.0	94	85054
86.354	0.0	6	86354
86.47	0.0	92	86470
87.739	0.0	7	87739
87.855	0.0	92	87855
89.124	0.0	8	89124
89.24	0.0	92	89240
90.51	0.0	91	90510
90.808	0.0	93	90808
92.095	0.0	1	92095
92.211	0.0	92	92211
93.48	0.0	2	93480
93.596	0.0	92	93596
94.865	0.0	5	94865
94.981	0.0	92	94981
96.251	0.0	7	96251
96.367	0.0	92	96367
97.636	0.0	91	97636
97.889	0.0	94	97889
99.188	0.0	9	99188
99.304	0.0	92	99304
100.573	0.0	4	100573
100.689	0.0	92	100689
101.958	0.0	2	101958
102.074	0.0	92	102074
103.344	0.0	91	103344
103.74	0.0	94	103740
105.046	0.0	9	105046
105.161	0.0	92	105161
106.431	0.0	2	106431
106.547	0.0	92	106547
107.816	0.0	3	107816
107.932	0.0	92	107932
109.201	0.0	5	109201
109.317	0.0	92	109317
110.587	0.0	2	110587
110.702	0.0	92	110702
111.972	0.0	91	111972
112.394	0.0	94	112394
113.691	0.0	9	113691
113.806	0.0	92	113806
115.075	0.0	2	115075
115.192	0.0	92	115192
116.461	0.0	10	116461
116.577	0.0	92	116577
117.846	0.0	4	117846
117.962	0.0	92	117962
119.232	0.0	7	119232
119.348	0.0	92	119348
120.617	0.0	91	120617
121.395	0.0	94	121395
122.703	0.0	5	122703
122.819	0.0	92	122819
124.088	0.0	6	124088
124.204	0.0	92	124204
125.473	0.0	6	125473
125.589	0.0	92	125589
126.858	0.0	91	126858
127.173	0.0	93	127173
128.477	0.0	3	128477
128.593	0.0	92	128593
129.862	0.0	10	129862
129.978	0.0	92	129978
131.248	0.0	6	131248
131.364	0.0	92	131364
132.633	0.0	8	132633
132.749	0.0	92	132749
134.018	0.0	8	134018
134.134	0.0	92	134134
135.403	0.0	91	135403
135.719	0.0	93	135719
137.022	0.0	10	137022
137.138	0.0	92	137138
138.407	0.0	3	138407
138.523	0.0	92	138523
139.793	0.0	8	139793
139.908	0.0	92	139908
141.178	0.0	8	141178
141.294	0.0	92	141294
142.563	0.0	91	142563
142.884	0.0	93	142884
144.182	0.0	10	144182
144.298	0.0	92	144298
145.567	0.0	5	145567
145.683	0.0	92	145683
146.952	0.0	5	146952
147.068	0.0	92	147068
148.338	0.0	91	148338
148.667	0.0	93	148667
149.973	0.0	6	149973
150.089	0.0	92	150089
151.358	0.0	6	151358
151.474	0.0	92	151474
152.744	0.0	1	152744
152.859	0.0	92	152859
154.129	0.0	1	154129
154.244	0.0	92	154244
155.514	0.0	91	155514
155.763	0.0	93	155763
157.066	0.0	3	157066
157.182	0.0	92	157182
158.451	0.0	4	158451
158.567	0.0	92	158567
159.836	0.0	5	159836
159.952	0.0	92	159952
161.222	0.0	91	161222
161.692	0.0	94	161692
162.991	0.0	9	162991
163.106	0.0	92	163106
164.376	0.0	3	164376
164.492	0.0	92	164492
165.761	0.0	7	165761
165.878	0.0	92	165878
167.146	0.0	8	167146
167.262	0.0	92	167262
168.53	0.0	5	168530
168.647	0.0	92	168647
169.917	0.0	91	169917
170.256	0.0	94	170256
171.552	0.0	9	171552
171.668	0.0	92	171668
172.936	0.0	10	172936
173.053	0.0	92	173053
174.323	0.0	8	174323
174.439	0.0	92	174439
175.708	0.0	1	175708
175.824	0.0	92	175824
177.093	0.0	7	177093
177.209	0.0	92	177209
178.478	0.0	91	178478
178.777	0.0	94	178777
180.08	0.0	9	180080
180.196	0.0	92	180196
181.465	0.0	3	181465
181.581	0.0	92	181581
182.851	0.0	1	182851
182.966	0.0	92	182966
184.236	0.0	7	184236
184.352	0.0	92	184352
185.621	0.0	91	185621
186.011	0.0	94	186011
187.307	0.0	2	187307
187.423	0.0	92	187423
188.692	0.0	6	188692
188.808	0.0	92	188808
190.077	0.0	7	190077
190.193	0.0	92	190193
191.461	0.0	7	191461
191.578	0.0	92	191578
192.864	0.0	91	192864
193.146	0.0	93	193146
194.45	0.0	10	194450
194.566	0.0	92	194566
195.835	0.0	3	195835
195.951	0.0	92	195951
197.22	0.0	4	197220
197.336	0.0	92	197336
214.343	0.0	9	214343
214.46	0.0	92	214460
215.729	0.0	6	215729
215.844	0.0	92	215844
217.113	0.0	5	217113
217.229	0.0	92	217229
218.498	0.0	91	218498
218.871	0.0	93	218871
220.167	0.0	9	220167
220.284	0.0	92	220284
221.552	0.0	10	221552
221.669	0.0	92	221669
222.954	0.0	5	222954
223.071	0.0	92	223071
224.339	0.0	8	224339
224.457	0.0	92	224457
225.724	0.0	91	225724
226.038	0.0	94	226038
227.343	0.0	3	227343
227.461	0.0	92	227461
228.728	0.0	3	228728
228.846	0.0	92	228846
230.114	0.0	3	230114
230.23	0.0	92	230230
231.499	0.0	91	231499
231.864	0.0	93	231864
233.168	0.0	9	233168
233.284	0.0	92	233284
234.553	0.0	10	234553
234.67	0.0	92	234670
235.938	0.0	2	235938
236.055	0.0	92	236055
237.323	0.0	1	237323
237.441	0.0	92	237441
238.709	0.0	4	238709
238.825	0.0	92	238825
240.094	0.0	91	240094
240.481	0.0	94	240481
241.779	0.0	1	241779
241.896	0.0	92	241896
243.164	0.0	7	243164
243.281	0.0	92	243281
244.55	0.0	1	244550
244.667	0.0	92	244667
245.935	0.0	91	245935
246.327	0.0	94	246327
247.621	0.0	10	247621
247.737	0.0	92	247737
249.006	0.0	5	249006
249.123	0.0	92	249123
250.391	0.0	9	250391
250.509	0.0	92	250509
251.793	0.0	7	251793
251.91	0.0	92	251910
253.178	0.0	6	253178
253.295	0.0	92	253295
254.564	0.0	91	254564
254.931	0.0	94	254931
256.232	0.0	10	256232
256.349	0.0	92	256349
257.617	0.0	2	257617
257.734	0.0	92	257734
259.003	0.0	1	259003
259.119	0.0	92	259119
260.388	0.0	91	260388
261.317	0.0	94	261317
262.624	0.0	1	262624
262.741	0.0	92	262741
264.01	0.0	1	264010
264.126	0.0	92	264126
265.395	0.0	5	265395
265.512	0.0	92	265512
266.78	0.0	91	266780
267.573	0.0	94	267573
268.866	0.0	3	268866
268.983	0.0	92	268983
270.252	0.0	2	270252
270.368	0.0	92	270368
271.636	0.0	2	271636
271.753	0.0	92	271753
273.038	0.0	91	273038
273.348	0.0	93	273348
274.641	0.0	5	274641
274.757	0.0	92	274757
276.026	0.0	4	276026
276.142	0.0	92	276142
277.411	0.0	2	277411
277.528	0.0	92	277528
278.813	0.0	91	278813
279.372	0.0	94	279372
280.665	0.0	4	280665
280.782	0.0	92	280782
282.05	0.0	3	282050
282.167	0.0	92	282167
283.436	0.0	8	283436
283.552	0.0	92	283552
284.821	0.0	91	284821
285.151	0.0	94	285151
286.456	0.0	8	286456
286.573	0.0	92	286573
287.842	0.0	8	287842
287.958	0.0	92	287958
289.227	0.0	1	289227
289.343	0.0	92	289343
290.612	0.0	91	290612
291.357	0.0	94	291357
292.649	0.0	10	292649
292.765	0.0	92	292765
294.034	0.0	2	294034
294.15	0.0	92	294150
295.42	0.0	10	295420
295.536	0.0	92	295536
296.805	0.0	8	296805
296.92	0.0	92	296920
298.189	0.0	7	298189
298.306	0.0	92	298306
299.575	0.0	91	299575
299.853	0.0	93	299853
301.161	0.0	8	301161
301.276	0.0	92	301276
302.546	0.0	1	302546
302.661	0.0	92	302661
303.931	0.0	1	303931
304.047	0.0	92	304047
305.316	0.0	91	305316
305.843	0.0	93	305843
307.135	0.0	5	307135
307.251	0.0	92	307251
308.521	0.0	4	308521
308.636	0.0	92	308636
309.906	0.0	3	309906
310.021	0.0	92	310021
311.291	0.0	91	311291
311.576	0.0	93	311576
312.875	0.0	9	312875
312.992	0.0	92	312992
314.278	0.0	5	314278
314.394	0.0	92	314394
315.664	0.0	1	315664
315.779	0.0	92	315779
317.049	0.0	6	317049
317.164	0.0	92	317164
318.434	0.0	7	318434
318.55	0.0	92	318550
319.819	0.0	91	319819
