onset	duration	value	sample
0.873	0.0	7	873
0.99	0.0	92	990
2.041	0.0	9	2041
2.157	0.0	92	2157
3.259	0.0	7	3259
3.375	0.0	92	3375
4.493	0.0	7	4493
4.609	0.0	92	4609
5.727	0.0	91	5727
6.583	0.0	93	6583
7.711	0.0	10	7711
7.827	0.0	92	7827
8.945	0.0	1	8945
9.061	0.0	92	9061
10.179	0.0	1	10179
10.295	0.0	92	10295
11.413	0.0	91	11413
12.051	0.0	93	12051
13.181	0.0	6	13181
13.297	0.0	92	13297
14.415	0.0	9	14415
14.531	0.0	92	14531
15.649	0.0	9	15649
15.765	0.0	92	15765
16.883	0.0	4	16883
16.999	0.0	92	16999
18.117	0.0	4	18117
18.233	0.0	92	18233
19.351	0.0	91	19351
19.633	0.0	93	19633
20.752	0.0	10	20752
20.868	0.0	92	20868
21.986	0.0	7	21986
22.102	0.0	92	22102
23.22	0.0	1	23220
23.336	0.0	92	23336
24.454	0.0	1	24454
24.57	0.0	92	24570
25.688	0.0	91	25688
26.09	0.0	93	26090
27.222	0.0	10	27222
27.338	0.0	92	27338
28.456	0.0	3	28456
28.572	0.0	92	28572
29.69	0.0	4	29690
29.806	0.0	92	29806
30.924	0.0	91	30924
31.608	0.0	93	31608
32.741	0.0	3	32741
32.858	0.0	92	32858
33.975	0.0	3	33975
34.092	0.0	92	34092
35.209	0.0	8	35209
35.326	0.0	92	35326
36.443	0.0	91	36443
37.162	0.0	94	37162
38.294	0.0	10	38294
38.411	0.0	92	38411
39.528	0.0	10	39528
39.645	0.0	92	39645
40.762	0.0	2	40762
40.879	0.0	92	40879
41.996	0.0	4	41996
42.113	0.0	92	42113
43.23	0.0	8	43230
43.347	0.0	92	43347
44.464	0.0	91	44464
45.713	0.0	94	45713
46.832	0.0	2	46832
46.949	0.0	92	46949
48.049	0.0	10	48049
48.166	0.0	92	48166
49.284	0.0	10	49284
49.4	0.0	92	49400
50.518	0.0	6	50518
50.634	0.0	92	50634
51.752	0.0	3	51752
51.868	0.0	92	51868
52.986	0.0	91	52986
53.95	0.0	94	53950
55.053	0.0	4	55053
55.17	0.0	92	55170
56.287	0.0	5	56287
56.404	0.0	92	56404
57.521	0.0	6	57521
57.638	0.0	92	57638
58.755	0.0	6	58755
58.872	0.0	92	58872
59.989	0.0	91	59989
60.443	0.0	93	60443
61.574	0.0	2	61574
61.69	0.0	92	61690
62.808	0.0	8	62808
62.924	0.0	92	62924
64.042	0.0	5	64042
64.158	0.0	92	64158
65.276	0.0	6	65276
