onset	duration	value	sample
1.111	0.0	94	1111
2.412	0.0	7	2412
2.528	0.0	92	2528
3.814	0.0	9	3814
3.929	0.0	92	3929
5.216	0.0	9	5216
5.331	0.0	92	5331
6.618	0.0	7	6618
6.733	0.0	92	6733
8.02	0.0	8	8020
8.135	0.0	92	8135
9.421	0.0	91	9421
10.958	0.0	93	10958
12.259	0.0	10	12259
12.374	0.0	92	12374
13.661	0.0	10	13661
13.776	0.0	92	13776
15.062	0.0	5	15062
15.178	0.0	92	15178
16.464	0.0	7	16464
16.581	0.0	92	16581
17.866	0.0	3	17866
17.982	0.0	92	17982
19.268	0.0	91	19268
20.565	0.0	94	20565
21.872	0.0	9	21872
21.987	0.0	92	21987
23.273	0.0	1	23273
23.389	0.0	92	23389
24.675	0.0	4	24675
24.791	0.0	92	24791
26.077	0.0	4	26077
26.193	0.0	92	26193
27.479	0.0	91	27479
28.895	0.0	93	28895
30.2	0.0	5	30200
30.316	0.0	92	30316
31.601	0.0	9	31601
31.717	0.0	92	31717
33.003	0.0	6	33003
33.119	0.0	92	33119
34.405	0.0	8	34405
34.521	0.0	92	34521
35.807	0.0	91	35807
37.123	0.0	94	37123
38.427	0.0	2	38427
38.543	0.0	92	38543
39.829	0.0	5	39829
39.945	0.0	92	39945
41.231	0.0	2	41231
41.347	0.0	92	41347
42.633	0.0	7	42633
42.749	0.0	92	42749
44.035	0.0	91	44035
45.198	0.0	94	45198
46.505	0.0	2	46505
46.622	0.0	92	46622
47.907	0.0	4	47907
48.022	0.0	92	48022
49.309	0.0	4	49309
49.424	0.0	92	49424
50.711	0.0	91	50711
51.149	0.0	93	51149
52.446	0.0	2	52446
52.562	0.0	92	52562
53.848	0.0	5	53848
53.964	0.0	92	53964
55.25	0.0	3	55250
55.366	0.0	92	55366
56.652	0.0	91	56652
58.332	0.0	94	58332
59.639	0.0	2	59639
59.755	0.0	92	59755
61.041	0.0	6	61041
61.157	0.0	92	61157
62.443	0.0	7	62443
62.559	0.0	92	62559
63.845	0.0	8	63845
63.961	0.0	92	63961
65.247	0.0	91	65247
66.344	0.0	93	66344
67.65	0.0	5	67650
67.766	0.0	92	67766
69.052	0.0	8	69052
69.168	0.0	92	69168
70.454	0.0	8	70454
70.57	0.0	92	70570
71.856	0.0	91	71856
72.813	0.0	93	72813
74.109	0.0	2	74109
74.224	0.0	92	74224
75.51	0.0	2	75510
75.627	0.0	92	75627
76.912	0.0	7	76912
77.028	0.0	92	77028
78.314	0.0	4	78314
78.43	0.0	92	78430
79.716	0.0	91	79716
80.939	0.0	94	80939
82.236	0.0	8	82236
82.352	0.0	92	82352
83.638	0.0	1	83638
83.754	0.0	92	83754
85.04	0.0	5	85040
85.156	0.0	92	85156
86.442	0.0	4	86442
86.558	0.0	92	86558
