onset	duration	value	sample
0.903	0.0	3	903
1.02	0.0	92	1020
2.137	0.0	4	2137
2.254	0.0	92	2254
3.354	0.0	4	3354
3.47	0.0	92	3470
4.588	0.0	91	4588
5.329	0.0	93	5329
6.456	0.0	8	6456
6.572	0.0	92	6572
7.656	0.0	2	7656
7.773	0.0	92	7773
8.89	0.0	5	8890
9.007	0.0	92	9007
10.124	0.0	7	10124
10.241	0.0	92	10241
11.343	0.0	5	11343
11.459	0.0	92	11459
12.576	0.0	91	12576
13.429	0.0	94	13429
14.543	0.0	3	14543
14.66	0.0	92	14660
15.761	0.0	2	15761
15.878	0.0	92	15878
16.995	0.0	8	16995
17.112	0.0	92	17112
18.229	0.0	8	18229
18.346	0.0	92	18346
19.463	0.0	91	19463
19.977	0.0	93	19977
21.08	0.0	9	21080
21.197	0.0	92	21197
22.281	0.0	10	22281
22.398	0.0	92	22398
23.515	0.0	5	23515
23.631	0.0	64	23631
23.632	0.0	92	23632
24.715	0.0	9	24715
24.832	0.0	92	24832
