onset	duration	value	sample
1.096	0.0	91	1096
1.724	0.0	93	1724
2.847	0.0	5	2847
2.963	0.0	92	2963
4.081	0.0	5	4081
4.197	0.0	92	4197
5.315	0.0	7	5315
5.431	0.0	92	5431
6.549	0.0	91	6549
7.158	0.0	94	7158
8.283	0.0	2	8283
8.4	0.0	92	8400
9.517	0.0	9	9517
9.633	0.0	92	9633
10.751	0.0	7	10751
10.868	0.0	92	10868
11.985	0.0	7	11985
12.101	0.0	92	12101
13.219	0.0	1	13219
13.335	0.0	92	13335
14.453	0.0	91	14453
15.412	0.0	94	15412
16.538	0.0	10	16538
16.654	0.0	92	16654
17.788	0.0	5	17788
17.905	0.0	92	17905
19.022	0.0	7	19022
19.139	0.0	92	19139
20.256	0.0	8	20256
20.373	0.0	92	20373
21.49	0.0	8	21490
21.607	0.0	92	21607
22.724	0.0	91	22724
23.303	0.0	93	23303
24.425	0.0	8	24425
24.542	0.0	92	24542
25.676	0.0	7	25676
25.792	0.0	92	25792
26.91	0.0	10	26910
27.026	0.0	92	27026
28.144	0.0	1	28144
28.26	0.0	92	28260
29.378	0.0	1	29378
29.494	0.0	92	29494
30.612	0.0	91	30612
31.192	0.0	93	31192
32.313	0.0	7	32313
32.429	0.0	92	32429
33.547	0.0	4	33547
33.663	0.0	92	33663
34.781	0.0	3	34781
34.897	0.0	92	34897
36.015	0.0	91	36015
36.601	0.0	93	36601
37.732	0.0	9	37732
37.849	0.0	92	37849
38.966	0.0	10	38966
39.083	0.0	92	39083
40.2	0.0	2	40200
40.317	0.0	92	40317
41.434	0.0	3	41434
41.551	0.0	92	41551
42.669	0.0	1	42669
42.785	0.0	92	42785
43.902	0.0	91	43902
44.607	0.0	94	44607
45.737	0.0	9	45737
45.853	0.0	92	45853
46.988	0.0	5	46988
47.104	0.0	92	47104
48.222	0.0	3	48222
48.338	0.0	92	48338
49.456	0.0	4	49456
49.572	0.0	92	49572
50.689	0.0	91	50689
51.387	0.0	93	51387
52.456	0.0	10	52456
52.573	0.0	92	52573
53.624	0.0	9	53624
53.74	0.0	92	53740
54.875	0.0	4	54875
54.991	0.0	92	54991
56.109	0.0	2	56109
56.225	0.0	92	56225
57.343	0.0	91	57343
58.142	0.0	94	58142
59.261	0.0	4	59261
59.377	0.0	92	59377
60.495	0.0	7	60495
60.611	0.0	92	60611
61.729	0.0	5	61729
61.845	0.0	92	61845
62.963	0.0	6	62963
63.079	0.0	92	63079
64.197	0.0	91	64197
64.614	0.0	93	64614
65.764	0.0	5	65764
65.881	0.0	92	65881
66.998	0.0	3	66998
67.115	0.0	92	67115
68.215	0.0	3	68215
68.332	0.0	92	68332
69.432	0.0	6	69432
69.549	0.0	92	69549
70.667	0.0	91	70667
72.005	0.0	93	72005
73.135	0.0	9	73135
73.251	0.0	92	73251
74.369	0.0	5	74369
74.485	0.0	92	74485
75.62	0.0	8	75620
75.736	0.0	92	75736
76.854	0.0	7	76854
76.97	0.0	92	76970
78.087	0.0	91	78087
78.738	0.0	93	78738
79.889	0.0	2	79889
80.005	0.0	92	80005
81.122	0.0	9	81122
81.239	0.0	92	81239
82.34	0.0	10	82340
82.456	0.0	92	82456
83.557	0.0	5	83557
83.673	0.0	92	83673
84.791	0.0	6	84791
84.908	0.0	92	84908
86.025	0.0	91	86025
86.541	0.0	93	86541
87.659	0.0	10	87659
87.776	0.0	92	87776
88.893	0.0	8	88893
89.01	0.0	92	89010
90.11	0.0	3	90110
90.227	0.0	92	90227
91.311	0.0	91	91311
91.985	0.0	94	91985
93.079	0.0	9	93079
93.195	0.0	92	93195
94.262	0.0	4	94262
94.379	0.0	92	94379
95.497	0.0	4	95497
95.613	0.0	92	95613
96.731	0.0	91	96731
97.283	0.0	93	97283
98.416	0.0	10	98416
98.532	0.0	92	98532
120.911	0.0	9	120911
121.027	0.0	92	121027
122.145	0.0	7	122145
122.261	0.0	92	122261
123.379	0.0	10	123379
123.495	0.0	92	123495
124.613	0.0	2	124613
