onset	duration	value	sample
12.485	0.0	1	12485
12.596	0.0	92	12596
13.696	0.0	7	13696
13.814	0.0	92	13814
14.915	0.0	3	14915
15.03	0.0	92	15030
16.148	0.0	91	16148
17.031	0.0	94	17031
18.166	0.0	4	18166
18.282	0.0	92	18282
19.4	0.0	5	19400
19.517	0.0	92	19517
20.617	0.0	3	20617
20.733	0.0	92	20733
21.834	0.0	3	21834
21.95	0.0	92	21950
23.052	0.0	91	23052
23.425	0.0	93	23425
24.552	0.0	9	24552
24.669	0.0	92	24669
25.786	0.0	7	25786
25.902	0.0	92	25902
27.004	0.0	1	27004
27.12	0.0	92	27120
28.238	0.0	91	28238
28.957	0.0	94	28957
30.072	0.0	3	30072
30.188	0.0	92	30188
31.306	0.0	5	31306
31.422	0.0	92	31422
32.54	0.0	5	32540
32.656	0.0	92	32656
33.774	0.0	91	33774
34.456	0.0	94	34456
35.558	0.0	4	35558
35.674	0.0	92	35674
36.775	0.0	4	36775
36.892	0.0	92	36892
38.009	0.0	8	38009
38.126	0.0	92	38126
39.243	0.0	8	39243
39.36	0.0	92	39360
40.478	0.0	91	40478
40.829	0.0	93	40829
41.962	0.0	3	41962
42.078	0.0	92	42078
43.195	0.0	1	43195
43.312	0.0	92	43312
44.429	0.0	10	44429
44.546	0.0	92	44546
45.664	0.0	8	45664
45.78	0.0	92	45780
46.898	0.0	8	46898
47.014	0.0	92	47014
48.115	0.0	91	48115
48.462	0.0	93	48462
49.582	0.0	4	49582
49.699	0.0	92	49699
50.816	0.0	10	50816
50.933	0.0	92	50933
52.05	0.0	1	52050
52.167	0.0	92	52167
53.284	0.0	3	53284
53.401	0.0	92	53401
54.518	0.0	5	54518
54.635	0.0	92	54635
55.736	0.0	91	55736
56.487	0.0	94	56487
57.603	0.0	2	57603
57.72	0.0	92	57720
58.821	0.0	9	58821
58.937	0.0	92	58937
60.055	0.0	5	60055
60.171	0.0	92	60171
61.272	0.0	5	61272
61.388	0.0	92	61388
62.489	0.0	91	62489
63.018	0.0	93	63018
64.123	0.0	3	64123
64.24	0.0	92	64240
65.341	0.0	1	65341
65.457	0.0	92	65457
66.559	0.0	7	66559
66.674	0.0	92	66674
67.776	0.0	2	67776
67.892	0.0	92	67892
68.993	0.0	91	68993
69.498	0.0	94	69498
70.627	0.0	10	70627
70.743	0.0	92	70743
71.861	0.0	8	71861
71.977	0.0	92	71977
73.078	0.0	5	73078
73.195	0.0	92	73195
74.296	0.0	91	74296
75.014	0.0	94	75014
76.147	0.0	7	76147
76.263	0.0	92	76263
77.381	0.0	9	77381
77.497	0.0	92	77497
78.615	0.0	5	78615
78.731	0.0	92	78731
79.832	0.0	6	79832
79.948	0.0	92	79948
81.049	0.0	91	81049
81.461	0.0	93	81461
82.567	0.0	6	82567
82.683	0.0	92	82683
83.801	0.0	2	83801
83.917	0.0	92	83917
85.018	0.0	7	85018
85.134	0.0	92	85134
