onset	duration	value	sample
0.4	0.0	8	400
0.516	0.0	92	516
1.802	0.0	2	1802
1.918	0.0	92	1918
3.204	0.0	5	3204
3.32	0.0	92	3320
4.606	0.0	91	4606
5.417	0.0	94	5417
6.725	0.0	4	6725
6.841	0.0	92	6841
8.127	0.0	1	8127
8.243	0.0	92	8243
9.529	0.0	1	9529
9.645	0.0	92	9645
10.931	0.0	6	10931
11.047	0.0	92	11047
12.333	0.0	91	12333
13.651	0.0	94	13651
14.953	0.0	10	14953
15.07	0.0	92	15070
16.355	0.0	5	16355
16.471	0.0	92	16471
17.757	0.0	3	17757
17.873	0.0	92	17873
19.159	0.0	1	19159
19.275	0.0	92	19275
20.561	0.0	91	20561
21.591	0.0	94	21591
22.897	0.0	10	22897
23.013	0.0	92	23013
24.299	0.0	6	24299
24.415	0.0	92	24415
25.701	0.0	5	25701
25.817	0.0	92	25817
27.103	0.0	91	27103
27.563	0.0	94	27563
28.855	0.0	9	28855
28.971	0.0	92	28971
30.257	0.0	4	30257
30.373	0.0	92	30373
31.659	0.0	1	31659
31.775	0.0	92	31775
33.061	0.0	2	33061
33.177	0.0	92	33177
34.463	0.0	91	34463
35.345	0.0	93	35345
36.649	0.0	2	36649
36.765	0.0	92	36765
38.051	0.0	10	38051
38.168	0.0	92	38168
39.453	0.0	1	39453
39.569	0.0	92	39569
40.855	0.0	4	40855
40.971	0.0	92	40971
42.257	0.0	3	42257
42.372	0.0	92	42372
43.659	0.0	91	43659
44.971	0.0	93	44971
46.279	0.0	10	46279
46.395	0.0	92	46395
47.681	0.0	6	47681
47.796	0.0	92	47796
49.083	0.0	6	49083
49.198	0.0	92	49198
50.485	0.0	3	50485
50.6	0.0	92	50600
51.887	0.0	3	51887
52.003	0.0	92	52003
53.288	0.0	91	53288
56.393	0.0	2	56393
56.508	0.0	92	56508
57.794	0.0	4	57794
57.91	0.0	92	57910
59.197	0.0	2	59197
59.312	0.0	92	59312
60.598	0.0	8	60598
60.714	0.0	92	60714
62.0	0.0	2	62000
62.117	0.0	92	62117
63.402	0.0	91	63402
64.244	0.0	94	64244
65.538	0.0	5	65538
65.654	0.0	92	65654
66.94	0.0	6	66940
67.056	0.0	92	67056
68.342	0.0	4	68342
68.458	0.0	92	68458
69.744	0.0	6	69744
69.86	0.0	92	69860
71.146	0.0	91	71146
71.965	0.0	94	71965
73.265	0.0	3	73265
73.381	0.0	92	73381
74.667	0.0	8	74667
74.783	0.0	92	74783
76.069	0.0	7	76069
76.186	0.0	92	76186
103.523	0.0	10	103523
103.639	0.0	92	103639
104.925	0.0	2	104925
105.041	0.0	92	105041
106.327	0.0	1	106327
106.442	0.0	92	106442
107.729	0.0	91	107729
109.481	0.0	93	109481
110.783	0.0	4	110783
110.898	0.0	92	110898
112.185	0.0	9	112185
112.3	0.0	92	112300
113.586	0.0	1	113586
113.702	0.0	92	113702
114.988	0.0	3	114988
115.105	0.0	92	115105
116.39	0.0	2	116390
116.506	0.0	92	116506
117.792	0.0	91	117792
118.521	0.0	94	118521
119.828	0.0	10	119828
119.944	0.0	92	119944
121.23	0.0	7	121230
121.346	0.0	92	121346
122.632	0.0	8	122632
122.748	0.0	92	122748
124.035	0.0	7	124035
124.151	0.0	92	124151
125.436	0.0	3	125436
125.552	0.0	92	125552
126.838	0.0	91	126838
129.942	0.0	8	129942
130.058	0.0	92	130058
131.344	0.0	9	131344
131.459	0.0	92	131459
132.746	0.0	10	132746
132.861	0.0	92	132861
134.148	0.0	5	134148
134.263	0.0	92	134263
135.55	0.0	5	135550
135.665	0.0	92	135665
136.951	0.0	91	136951
137.692	0.0	93	137692
138.987	0.0	10	138987
139.103	0.0	92	139103
140.389	0.0	6	140389
140.505	0.0	92	140505
141.791	0.0	3	141791
141.907	0.0	92	141907
143.193	0.0	3	143193
143.309	0.0	92	143309
144.595	0.0	91	144595
145.666	0.0	93	145666
146.965	0.0	6	146965
147.081	0.0	92	147081
148.367	0.0	4	148367
148.482	0.0	92	148482
149.769	0.0	7	149769
149.884	0.0	92	149884
151.171	0.0	91	151171
152.319	0.0	94	152319
153.624	0.0	8	153624
153.74	0.0	92	153740
155.026	0.0	4	155026
155.142	0.0	92	155142
156.428	0.0	4	156428
156.543	0.0	92	156543
157.83	0.0	2	157830
157.945	0.0	92	157945
159.231	0.0	2	159231
159.347	0.0	92	159347
160.633	0.0	91	160633
161.984	0.0	93	161984
163.287	0.0	8	163287
163.403	0.0	92	163403
164.689	0.0	10	164689
164.805	0.0	92	164805
166.091	0.0	5	166091
166.207	0.0	92	166207
167.493	0.0	1	167493
167.608	0.0	92	167608
168.895	0.0	91	168895
170.386	0.0	94	170386
171.682	0.0	6	171682
171.797	0.0	92	171797
173.084	0.0	1	173084
173.2	0.0	92	173200
174.485	0.0	5	174485
174.601	0.0	92	174601
175.887	0.0	6	175887
176.003	0.0	92	176003
177.289	0.0	91	177289
177.901	0.0	93	177901
179.208	0.0	10	179208
179.324	0.0	92	179324
180.61	0.0	7	180610
180.726	0.0	92	180726
182.012	0.0	9	182012
182.128	0.0	92	182128
183.414	0.0	7	183414
183.53	0.0	92	183530
184.816	0.0	7	184816
184.932	0.0	92	184932
186.218	0.0	91	186218
186.707	0.0	93	186707
188.004	0.0	9	188004
188.119	0.0	92	188119
189.406	0.0	2	189406
189.521	0.0	92	189521
190.807	0.0	3	190807
190.923	0.0	92	190923
192.209	0.0	91	192209
193.983	0.0	94	193983
195.28	0.0	1	195280
195.396	0.0	92	195396
196.682	0.0	4	196682
196.798	0.0	92	196798
198.084	0.0	8	198084
198.201	0.0	92	198201
199.486	0.0	3	199486
199.602	0.0	92	199602
200.888	0.0	2	200888
201.003	0.0	92	201003
202.29	0.0	91	202290
203.924	0.0	94	203924
205.227	0.0	7	205227
205.343	0.0	92	205343
206.629	0.0	5	206629
206.744	0.0	92	206744
208.031	0.0	6	208031
208.146	0.0	92	208146
209.433	0.0	91	209433
210.277	0.0	93	210277
211.586	0.0	9	211586
211.701	0.0	92	211701
212.987	0.0	4	212987
213.104	0.0	92	213104
214.389	0.0	5	214389
214.505	0.0	92	214505
215.791	0.0	91	215791
217.118	0.0	93	217118
218.411	0.0	6	218411
218.527	0.0	92	218527
219.813	0.0	1	219813
219.929	0.0	92	219929
